transaction_id,card_number,merchant_name,amount_usd,amount_cad,currency,conversion_rate,transaction_date,mcc_code,mcc_description,transaction_code,employee_id,employee_name,department,manager_id,job_level,approval_status,expense_report_id,ai_risk_score,ai_category,policy_flag,flag_reason,severity,receipt_url,trip_id,is_pre_authorized
TXN-003572,****-****-****-4003,ROADSIDE GRILL CO,25.87,35.67,USD,1.379,2025-07-31 16:31:00,5814,Fast Food Restaurants,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003572.pdf,TRIP-0237,True
TXN-000706,****-****-****-4007,ESSO RETAIL 113,61.61,84.96,USD,1.379,2025-08-01 07:38:00,5172,Petroleum & Petroleum Products,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/000706.pdf,,True
TXN-002698,****-****-****-4004,A&W STORE 551,27.42,37.81,USD,1.379,2025-08-01 11:39:00,5812,Eating Places & Restaurants,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/002698.pdf,,True
TXN-002024,****-****-****-4004,HOME DEPOT 88,206.88,285.29,USD,1.379,2025-08-01 11:44:00,5045,Computers & Peripherals,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,PENDING,,,,,,,,,False
TXN-002950,****-****-****-4008,ULTRAMAR 55,52.39,72.25,USD,1.379,2025-08-01 11:47:00,5172,Petroleum & Petroleum Products,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/002950.pdf,,True
TXN-001557,****-****-****-4009,SHELL DT #4421,60.05,82.81,USD,1.379,2025-08-01 12:35:00,5172,Petroleum & Petroleum Products,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/001557.pdf,,True
TXN-002497,****-****-****-4003,ESSO RETAIL 113,67.52,93.11,USD,1.379,2025-08-01 12:52:00,5172,Petroleum & Petroleum Products,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,,,True
TXN-002859,****-****-****-4007,PETRO-CANADA 8821,157.11,216.65,USD,1.379,2025-08-01 13:36:00,5172,Petroleum & Petroleum Products,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,,TRIP-0186,True
TXN-004109,****-****-****-4003,QUICK FUEL STOP,59.06,81.44,USD,1.379,2025-08-01 13:51:00,5172,Petroleum & Petroleum Products,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/004109.pdf,TRIP-0275,True
TXN-002384,****-****-****-4008,PILOT TRAVEL 209,49.86,68.76,USD,1.379,2025-08-01 15:37:00,5172,Petroleum & Petroleum Products,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/002384.pdf,,True
TXN-002518,****-****-****-4006,ESSO RETAIL 113,25.75,35.51,USD,1.379,2025-08-01 19:06:00,5172,Petroleum & Petroleum Products,TXC-006,EMP006,Bob Kumar,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002518.pdf,TRIP-0165,True
TXN-002537,****-****-****-4009,PILOT TRAVEL 209,136.61,188.39,USD,1.379,2025-08-01 19:20:00,5172,Petroleum & Petroleum Products,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,PENDING,,,,,,,https://receipts.brim.example/002537.pdf,TRIP-0166,False
TXN-002536,****-****-****-4009,TIM HORTONS #882,36.57,50.43,USD,1.379,2025-08-01 19:27:00,5814,Fast Food Restaurants,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/002536.pdf,TRIP-0166,True
TXN-000678,****-****-****-4003,PILOT TRAVEL 209,176.41,243.27,USD,1.379,2025-08-01 19:55:00,5541,Service Stations,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000678.pdf,,True
TXN-003491,****-****-****-4006,PRECISE PARKLINK,18.36,25.32,USD,1.379,2025-08-01 20:04:00,7523,Parking Lots & Garages,TXC-006,EMP006,Bob Kumar,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/003491.pdf,,True
TXN-002858,****-****-****-4007,WENDYS 7781,32.49,44.8,USD,1.379,2025-08-01 21:28:00,5814,Fast Food Restaurants,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002858.pdf,TRIP-0186,True
TXN-002490,****-****-****-4007,BOSTON PIZZA 12,8.8,12.14,USD,1.379,2025-08-02 06:44:00,5812,Eating Places & Restaurants,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002490.pdf,TRIP-0163,True
